"","Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","Latitude","Longitude","Rendimento.seco","Produtividade"
"1106",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.0007101636553,-1.00015607230381,6.3,0
"1107",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00070970421285,-1.00015600215343,7.8,0
"1108",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071617104266,-1.0001552275764,21.5,1
"1109",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071589687946,-1.00015520653129,35,1
"1110",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071519039802,-1.00015514339595,42.7,1
"1111",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071346237697,-1.00015489455699,7.6,0
"1112",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071281765527,-1.00015479654133,7.1,0
"1113",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071248173232,-1.00015474042103,7.5,0
"1114",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071199474836,-1.00015468430073,7.7,0
"1115",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071652073637,-1.00015410244236,22.2,1
"1116",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071661003762,-1.00015410244236,26.4,1
"1117",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071602039895,-1.00015400793422,40.6,1
"1118",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071553341499,-1.00015392024625,44.7,1
"1119",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071638386341,-1.00015249366047,33.3,1
"1120",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071767998352,-1.00015080790803,7.3,0
"1121",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071735741403,-1.00015075529525,7.3,0
"1122",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00071692551309,-1.0001507272351,7.5,0
